id,age_group,topic,difficulty,story,question,option_a,option_b,option_c,option_d,correct_option,explanation,character_emotion,background_file,audio_file,is_active
9,teens,social_engineering,easy,"A message says that if you do not forward it to ten friends tonight, your account will be hacked.",What should you do?,Forward it – just to be safe.,Delete it – this is a hoax designed to spread fear and spam.,Send it to only five friends as a compromise.,Forward it with a warning note attached.,B,Chain messages that threaten you with hacking unless you forward them are fake. They are designed to spread spam and create fear. Hackers do not actually track whether you forwarded a message. Delete it and do not send it to others.,thinking,teens_game_background.png,teens_question_09.mp3,true
10,teens,social_engineering,medium,"An unknown account offers you a social media assistant job paying £300 a week just to post links. They ask for your full name, address, and bank details via DM for payment.",What should you do?,Give fake details to stay safe.,Report and block – legitimate jobs do not ask for bank details via DM.,Ask for a video interview before giving any information.,Ask for payment via PayPal first before sharing bank details.,B,"This is a job scam. It is used to steal your identity, your money, or to involve you in illegal money laundering. Legitimate employers never request your bank account or home address through a social media DM. Report and block immediately.",thinking,teens_game_background.png,teens_question_10.mp3,true
11,teens,privacy,hard,A YouTuber you trust promotes a free VPN saying it makes you completely anonymous and impossible to hack.,What should you think about this claim?,The YouTuber would not lie – trust the recommendation.,"Free VPNs often sell your data, and no tool makes you 100% anonymous.",Install it – even basic protection is better than nothing.,A paid VPN is always 100% safe and anonymous instead.,B,Free VPN services frequently earn money by logging and selling your browsing data to advertisers or third parties – the opposite of what they promise. No technology makes you truly anonymous. Be critical of influencer endorsements which are often paid promotions.,thinking,teens_game_background.png,teens_question_11.mp3,true
12,teens,privacy,medium,"You add a new person to your private story. The next day, screenshots appear in a large group chat and you are humiliated.",What is the most important lesson here?,Never use private stories at all.,"Only add people you completely trust in real life, and assume anything digital can be shared.",Report the person and move on.,Switch your story settings to followers-only from now on.,B,"Digital trust is fragile. Anyone who can view your content can screenshot and share it. A 'private' setting only limits who can see it initially. Never post anything you would not be comfortable with becoming public, and be very selective about who you grant access to.",thinking,teens_game_background.png,teens_question_12.mp3,true
13,teens,phishing,medium,You see a poster at a bus stop saying scan to win a free phone. You scan the QR code and it asks for your phone number and email address.,What is the danger?,None – QR codes are always safe.,It could lead to a phishing site or download malware onto your device.,It is only dangerous if you also enter payment information.,It is only dangerous if you enter payment and personal details together.,B,"QR codes are simply links in a different form. A malicious QR code can redirect you to a phishing website designed to steal your information, or it can trigger an automatic download of malware. Be very cautious about scanning random QR codes in public places.",thinking,teens_game_background.png,teens_question_13.mp3,true
14,teens,phishing,medium,A stranger messages you claiming someone is using your photos on a fake account. They provide a link for you to click to see and report it.,What should you do?,Click the link – you want to protect your photos.,Search for your name on the platform yourself instead of clicking the link.,Ask the stranger to send screenshots instead.,Message the stranger back to get the link resent.,B,Scammers use fear about your reputation to make you click dangerous links. The link could lead to a phishing page or install malware. Always investigate a claim directly through the official platform yourself rather than through a link a stranger provides.,thinking,teens_game_background.png,teens_question_14.mp3,true
15,teens,cyberbullying,medium,Someone creates a fake anonymous account and posts mean things about you in a large group chat. Nobody knows who it is.,What is the most effective first step?,Respond publicly to defend yourself.,"Screenshot everything, leave the chat, and report to the platform and a school counsellor.",Create your own anonymous account to fight back.,Create a new account with your real name to prove the fake one is wrong.,B,"Responding angrily or retaliating gives the bully attention and can escalate the situation. The right approach is to document evidence with screenshots, leave the group, report the account to the platform, and tell a trusted adult such as a school counsellor or parent.",thinking,teens_game_background.png,teens_question_15.mp3,true
1,adults,phishing,hard,You receive an email from your 'CEO'. The display name looks right but the email address is ceo@company-secure.net instead of the usual company domain. It asks you to buy gift cards and email the codes.,What should you do?,Ask the CEO in person or call them on their known number to verify.,Buy the gift cards – the CEO is asking.,Reply to the email asking for more verification.,Forward the email to your IT department and wait for a response.,A,"This is Business Email Compromise (BEC), one of the most costly cyber frauds. The display name can easily be spoofed. Legitimate executives never request gift card purchases via email. Always verify financial or unusual requests through a second, trusted communication channel.",thinking,adults_game_background.png,adults_question_01.mp3,true
2,adults,malware,medium,You find a USB stick in the company car park labelled 'Q4 Salary Reports – Confidential'.,What should you do?,Plug it into your work computer to see what is inside.,Hand it to IT security immediately – never plug in unknown USB devices.,Take it home and check it on a personal computer.,Check the contents on a sandboxed virtual machine at work.,B,"USB drop attacks are a well-documented social engineering technique. Attackers deliberately leave infected USB drives in places employees will find them, knowing curiosity will cause someone to plug it in. This instantly delivers malware to the corporate network. Always hand unknown devices to IT security.",thinking,adults_game_background.png,adults_question_02.mp3,true
3,adults,phishing,hard,Late at night your phone buzzes with five Microsoft Authenticator approval requests in a row. You did not try to log in.,What should you do?,Click Deny on all requests and change your password immediately.,Click Approve once to see if the requests stop.,Ignore them – they will stop eventually.,Keep your phone on silent at night to avoid being disturbed.,A,This is an MFA fatigue attack. The attacker already has your password and is bombarding you with approval requests hoping you will accidentally or impatiently approve one. Deny all requests and immediately change your password. Report the incident to your IT team.,thinking,adults_game_background.png,adults_question_03.mp3,true
4,adults,social_engineering,hard,"You receive a call from what sounds exactly like your daughter. She says she crashed the car and needs £3,000 urgently. The caller says not to call the police and will send a bank account number.",What should you do?,Send the money – her voice is unmistakable.,Hang up and call your daughter on her known phone number immediately.,Ask the caller to video call to confirm their identity.,Ask the caller to call back on your daughter's known number.,B,AI voice cloning can now replicate a person's voice from just a few seconds of audio found online. Attackers use this to impersonate family members in distress. Always verify by calling the person directly on a number you already know. Never transfer money based on an unexpected call alone.,thinking,adults_game_background.png,adults_question_04.mp3,true
5,adults,phishing,medium,"You receive a text from 'Lloyds Fraud Team' about an unusual transaction of £1,200. It asks you to reply YES to block it or NO to allow it. It comes from a short code you do not recognise.",What should you do?,Reply NO immediately to stop the transaction.,Do not reply. Call the number on the back of your bank card instead.,Click any link in the text to get more details.,Reply YES to block the transaction while you investigate.,B,Smishing (SMS phishing) is increasingly common. Replying to the message or clicking links confirms your number is active and can lead to further attacks or financial fraud. Your bank's genuine number is on the back of your card. Always use that to verify any suspicious financial alert.,thinking,adults_game_background.png,adults_question_05.mp3,true
6,adults,privacy,medium,You are at an airport and the Wi-Fi network 'Free_Airport_WiFi' has no password. You need to check your work email urgently.,What is the safest action?,Connect and check email – it is quick and convenient.,Use a reputable VPN before accessing any sensitive account.,Wait until you have cellular data available.,Connect but only open your email briefly and disconnect.,B,"Open public Wi-Fi can be a rogue hotspot set up by an attacker to intercept traffic, or a legitimate network vulnerable to man-in-the-middle attacks. A VPN encrypts your data so even if the network is compromised, your communications cannot be read. Always use a VPN on public networks.",thinking,adults_game_background.png,adults_question_06.mp3,true
7,adults,phishing,hard,HR sends an email asking staff to log into hr-portal.company-name.net to confirm bank details for a payroll system update. The link contains a slight misspelling of the company name.,What should you do?,Log in – it looks official enough.,Contact your actual HR department directly via a new email or phone call to verify.,Click the link and check whether the site has HTTPS before proceeding.,Change your HR portal password immediately before doing anything else.,B,Spear phishing targeting payroll or bank detail changes is one of the most financially damaging attacks on organisations. A misspelled domain is a classic indicator. HTTPS only confirms the site has an SSL certificate – not that it is legitimate. Always verify HR or finance requests through an independent channel.,thinking,adults_game_background.png,adults_question_07.mp3,true
8,adults,privacy,medium,You set up a cheap Wi-Fi camera to monitor your front door. The app requests full network access and location always on. You never changed the default password 'admin'.,What is the biggest security risk?,The camera hardware might break quickly.,"Hackers could access the camera feed if default credentials are unchanged, potentially viewing inside your home.",It will consume too much internet data.,Adding a VPN to your home network will resolve all security concerns.,B,IoT (Internet of Things) devices like cheap cameras are frequently targeted because manufacturers ship them with default credentials that most users never change. A compromised camera gives attackers a live video feed and a foothold on your home network. Always change default passwords and review app permissions.,thinking,adults_game_background.png,adults_question_08.mp3,true
9,adults,social_engineering,medium,"A recorded automated voice says it is HMRC and that you owe £2,300 in back taxes. It tells you to press 1 to speak to an officer or a warrant will be issued for your arrest.",What should you do?,Press 1 immediately to resolve the issue.,Hang up. HMRC never threatens arrest via robocall. Report it to Action Fraud.,Ask the automated system for a reference number.,Report the call to your local police station in person.,B,HMRC will never contact you by phone threatening immediate arrest or demanding payment by gift card or bank transfer. This is a well-known government impersonation scam. Hang up immediately and report it to Action Fraud (0300 123 2040) or at actionfraud.police.uk.,thinking,adults_game_background.png,adults_question_09.mp3,true
10,adults,passwords,medium,"You use the same password for your work laptop, personal Gmail, and a shopping site that was recently reported as breached.",What is the consequence of this password reuse?,Low risk – they are completely different platforms.,Attackers can use the leaked shopping password to attempt access to your work email.,Only a problem if you also use the same username across sites.,"Only a problem for your personal accounts, not your work systems.",B,Credential stuffing is an automated attack where stolen username and password combinations from one breach are tried against hundreds of other services. Reusing work passwords with personal accounts creates a direct path for attackers into corporate systems. Use a password manager and unique passwords for every account.,thinking,adults_game_background.png,adults_question_10.mp3,true
11,adults,phishing,medium,An email says your Google Drive backup is corrupted and you must click a link within 24 hours to restore your files or they will be permanently deleted.,What should you do?,Click quickly – you need those files urgently.,Log into Google Drive directly via your browser (not the email link) to check.,Forward the email to your IT department and wait.,Call the Google Drive support number listed in the email.,B,"Urgency is a core tactic in phishing. This email creates panic to make you act without thinking. Google does not send emails threatening to delete your Drive files. Always verify storage or account issues by navigating directly to the official service yourself, never through a link in an unexpected email.",thinking,adults_game_background.png,adults_question_11.mp3,true
12,adults,social_engineering,hard,"A Facebook quiz asks for your first pet's name, the street you grew up on, and your mother's maiden name – all common bank security questions.",What should you do?,Answer – it is just for fun and harmless.,Skip the quiz – this is a social engineering tactic to harvest password recovery answers.,Answer with real information but only for questions you do not use as security questions.,Answer with fictional information to confuse potential attackers.,B,"Social engineering quizzes are deliberately designed to harvest the exact answers people use for account recovery questions at banks and other services. The fun framing lowers your guard. Never answer questions publicly that match common security question formats, even if the quiz appears innocent.",thinking,adults_game_background.png,adults_question_12.mp3,true
13,adults,malware,hard,Your home router firmware has not been updated in three years. A notification says a new version is available but you ignore it because everything seems to be working fine.,What is the actual risk?,Minimal – routers do not need software updates.,"Known vulnerabilities in old firmware allow hackers to control your network, intercept traffic, or add your router to a botnet.",It only affects your internet connection speed.,Rebooting the router regularly removes any temporary vulnerabilities.,B,"Router firmware updates frequently contain critical security patches for vulnerabilities that are publicly disclosed. Attackers scan for routers running outdated firmware and exploit these known weaknesses to intercept traffic, redirect you to malicious sites, or recruit your device into a botnet. Always update router firmware promptly.",thinking,adults_game_background.png,adults_question_13.mp3,true
14,adults,social_engineering,hard,"You are on a video call with what appears to be your CFO. The video is slightly choppy. They urgently request you authorise a £50,000 transfer to a new supplier immediately.",What should you do?,Authorise the transfer – the CFO is visible on video.,End the call and verify through a separate trusted channel such as the CFO's direct office line.,Ask for written email confirmation from the CFO before authorising.,Ask the CFO to hold up their ID badge to the camera.,B,"Deepfake video technology can convincingly replicate a person's face and voice in real time. Attackers use this for high-value financial fraud. A choppy video is sometimes a sign of deepfake processing. For any significant financial request, always verify through a completely separate trusted communication channel before acting.",thinking,adults_game_background.png,adults_question_14.mp3,true
15,adults,malware,medium,"While browsing a news website, a full-screen pop-up appears saying Windows has detected a virus and you must call a phone number immediately. Your computer starts making beeping sounds.",What should you do?,Call the number and pay for the removal service.,"Force-close your browser using Task Manager, never call the number, and run your own antivirus scan.",Restart the computer to clear the alert.,Click the number on screen to check where it leads before calling.,B,"This is a tech support scam. The pop-up and beeping are fake, triggered by a malicious script on the website. Legitimate security software never instructs you to call a phone number. If you call, you will be charged for fake services or given access to install real malware. Force-close the browser and run a reputable antivirus tool.",thinking,adults_game_background.png,adults_question_15.mp3,true
